Suburb,Rooms,Type,Price,Date,Regionname,Distance,CouncilArea
"Diamond Creek",3,"h",827000,"18/11/2017","Northern Victoria",21.8,"Nillumbik Shire Council"
"Dingley Village",5,"h",1050000,"18/11/2017","South-Eastern Metropolitan",22.2,"Kingston City Council"
"Dingley Village",5,"h",1105000,"18/11/2017","South-Eastern Metropolitan",22.2,"Kingston City Council"
"Doncaster",4,"h",1325000,"18/11/2017","Eastern Metropolitan",12.4,"Manningham City Council"
"Doncaster East",3,"u",780000,"18/11/2017","Eastern Metropolitan",14.3,"Manningham City Council"
"Doncaster East",3,"h",865000,"18/11/2017","Eastern Metropolitan",14.3,"Manningham City Council"
"Doncaster East",4,"h",1927000,"18/11/2017","Eastern Metropolitan",14.3,"Manningham City Council"
"Doncaster East",3,"h",1325000,"18/11/2017","Eastern Metropolitan",14.3,"Manningham City Council"
"Doncaster East",3,"h",905000,"18/11/2017","Eastern Metropolitan",14.3,"Manningham City Council"
"Donvale",5,"h",1440000,"18/11/2017","Eastern Metropolitan",16.1,"Manningham City Council"
"Doreen",4,"h",570000,"18/11/2017","Northern Victoria",25.9,"Nillumbik Shire Council"
"Doveton",3,"h",600000,"18/11/2017","South-Eastern Metropolitan",28.8,"Casey City Council"
"Eaglemont",3,"h",1288000,"18/11/2017","Eastern Metropolitan",8.9,"Banyule City Council"
"Edithvale",3,"h",670000,"18/11/2017","South-Eastern Metropolitan",27,"Kingston City Council"
"Edithvale",3,"h",1000000,"18/11/2017","South-Eastern Metropolitan",27,"Kingston City Council"
"Eltham",3,"h",777500,"18/11/2017","Eastern Metropolitan",18,"Banyule City Council"
"Elwood",2,"u",425000,"18/11/2017","Southern Metropolitan",7.2,"Port Phillip City Council"
"Elwood",5,"h",3200000,"18/11/2017","Southern Metropolitan",7.2,"Port Phillip City Council"
"Elwood",3,"u",942000,"18/11/2017","Southern Metropolitan",7.2,"Port Phillip City Council"
"Elwood",2,"u",655000,"18/11/2017","Southern Metropolitan",7.2,"Port Phillip City Council"
"Essendon",2,"u",475000,"18/11/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",3,"t",820000,"18/11/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",1,"u",322000,"18/11/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",3,"t",880000,"18/11/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",3,"h",1110000,"18/11/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",5,"h",1560000,"18/11/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",3,"t",1100000,"18/11/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",4,"h",2455000,"18/11/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",4,"h",1420000,"18/11/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",4,"h",2600000,"18/11/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",2,"u",440000,"18/11/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",6,"h",2500000,"18/11/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",3,"h",1275000,"18/11/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon North",4,"h",1540000,"18/11/2017","Western Metropolitan",8.2,"Moonee Valley City Council"
"Essendon North",3,"h",820000,"18/11/2017","Western Metropolitan",8.2,"Moonee Valley City Council"
"Essendon West",4,"h",1655000,"18/11/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Fairfield",3,"h",1225000,"18/11/2017","Northern Metropolitan",5.7,"Darebin City Council"
"Fawkner",3,"h",710000,"18/11/2017","Northern Metropolitan",13.1,"Hume City Council"
"Fawkner",3,"h",645000,"18/11/2017","Northern Metropolitan",13.1,"Hume City Council"
"Fawkner",3,"h",910000,"18/11/2017","Northern Metropolitan",13.1,"Hume City Council"
"Fawkner",3,"h",830000,"18/11/2017","Northern Metropolitan",13.1,"Hume City Council"
"Fawkner",3,"t",542000,"18/11/2017","Northern Metropolitan",13.1,"Hume City Council"
"Ferntree Gully",3,"h",725000,"18/11/2017","Eastern Metropolitan",24.8,"Knox City Council"
"Ferntree Gully",4,"h",940000,"18/11/2017","Eastern Metropolitan",24.8,"Knox City Council"
"Fitzroy",2,"u",790000,"18/11/2017","Northern Metropolitan",2.1,"Yarra City Council"
"Fitzroy",3,"h",1305000,"18/11/2017","Northern Metropolitan",2.1,"Yarra City Council"
"Fitzroy",1,"u",472500,"18/11/2017","Northern Metropolitan",2.1,"Yarra City Council"
"Fitzroy North",2,"h",1370000,"18/11/2017","Northern Metropolitan",3.6,"Moreland City Council"
"Fitzroy North",4,"h",2630000,"18/11/2017","Northern Metropolitan",3.6,"Moreland City Council"
"Fitzroy North",2,"h",1450000,"18/11/2017","Northern Metropolitan",3.6,"Moreland City Council"
"Fitzroy North",2,"u",782000,"18/11/2017","Northern Metropolitan",3.6,"Moreland City Council"
"Flemington",2,"h",1175000,"18/11/2017","Northern Metropolitan",3.4,"Melbourne City Council"
"Footscray",3,"h",940000,"18/11/2017","Western Metropolitan",5.1,"Maribyrnong City Council"
"Footscray",4,"h",1420000,"18/11/2017","Western Metropolitan",5.1,"Maribyrnong City Council"
"Footscray",3,"h",890000,"18/11/2017","Western Metropolitan",5.1,"Maribyrnong City Council"
"Footscray",3,"h",975000,"18/11/2017","Western Metropolitan",5.1,"Maribyrnong City Council"
"Forest Hill",4,"h",1015000,"18/11/2017","Eastern Metropolitan",15.4,"Whitehorse City Council"
"Frankston",3,"h",700000,"18/11/2017","South-Eastern Metropolitan",38,"Frankston City Council"
"Frankston",3,"u",610000,"18/11/2017","South-Eastern Metropolitan",38,"Frankston City Council"
"Frankston North",4,"h",595000,"18/11/2017","Eastern Victoria",36.9,"Frankston City Council"
"Frankston South",4,"h",737500,"18/11/2017","South-Eastern Metropolitan",38,"Frankston City Council"
"Frankston South",3,"h",686000,"18/11/2017","South-Eastern Metropolitan",38,"Frankston City Council"
"Frankston South",3,"h",682000,"18/11/2017","South-Eastern Metropolitan",38,"Frankston City Council"
"Gisborne",3,"h",1100000,"18/11/2017","Northern Victoria",45.9,"Macedon Ranges Shire Council"
"Gladstone Park",3,"h",590000,"18/11/2017","Western Metropolitan",12.9,"Hume City Council"
"Gladstone Park",3,"h",650000,"18/11/2017","Western Metropolitan",12.9,"Hume City Council"
"Gladstone Park",3,"h",651000,"18/11/2017","Western Metropolitan",12.9,"Hume City Council"
"Glen Iris",5,"h",2625000,"18/11/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Iris",3,"u",1105000,"18/11/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Iris",3,"h",1845000,"18/11/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Iris",2,"u",1150000,"18/11/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Iris",3,"h",2412000,"18/11/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Iris",4,"h",2640000,"18/11/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Iris",5,"h",2300000,"18/11/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Iris",4,"h",2001000,"18/11/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Waverley",5,"h",1670000,"18/11/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",3,"h",2380000,"18/11/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",4,"h",1150000,"18/11/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",4,"t",1250000,"18/11/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",3,"u",1018000,"18/11/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",3,"u",1250000,"18/11/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",5,"h",2202000,"18/11/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",3,"h",1605000,"18/11/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",3,"h",1600000,"18/11/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",4,"h",1328800,"18/11/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glenroy",3,"h",1000000,"18/11/2017","Northern Metropolitan",11.2,"Moreland City Council"
"Glenroy",4,"h",1030000,"18/11/2017","Northern Metropolitan",11.2,"Moreland City Council"
"Glenroy",4,"t",745000,"18/11/2017","Northern Metropolitan",11.2,"Moreland City Council"
"Glenroy",5,"h",861960,"18/11/2017","Northern Metropolitan",11.2,"Moreland City Council"
"Glenroy",3,"h",1171000,"18/11/2017","Northern Metropolitan",11.2,"Moreland City Council"
"Glenroy",3,"h",611000,"18/11/2017","Northern Metropolitan",11.2,"Moreland City Council"
"Glenroy",2,"h",512000,"18/11/2017","Northern Metropolitan",11.2,"Moreland City Council"
"Glenroy",2,"t",530000,"18/11/2017","Northern Metropolitan",11.2,"Moreland City Council"
"Greensborough",3,"h",750000,"18/11/2017","Northern Metropolitan",16.1,"Banyule City Council"
"Greensborough",3,"h",743000,"18/11/2017","Northern Metropolitan",16.1,"Banyule City Council"
"Greensborough",2,"u",500000,"18/11/2017","Northern Metropolitan",16.1,"Banyule City Council"
"Greensborough",4,"h",1221000,"18/11/2017","Northern Metropolitan",16.1,"Banyule City Council"
"Greensborough",3,"h",905000,"18/11/2017","Northern Metropolitan",16.1,"Banyule City Council"
"Greenvale",3,"h",715000,"18/11/2017","Northern Metropolitan",20.4,"Hume City Council"
"Greenvale",4,"h",1210000,"18/11/2017","Northern Metropolitan",20.4,"Hume City Council"
"Greenvale",5,"h",1020000,"18/11/2017","Northern Metropolitan",20.4,"Hume City Council"
"Hadfield",3,"t",716000,"18/11/2017","Northern Metropolitan",11.2,"Moreland City Council"
"Hampton",2,"h",940000,"18/11/2017","Southern Metropolitan",13.8,"Bayside City Council"
"Hampton",5,"h",4500000,"18/11/2017","Southern Metropolitan",13.8,"Bayside City Council"
"Hampton",3,"h",2390000,"18/11/2017","Southern Metropolitan",13.8,"Bayside City Council"
"Hampton",2,"u",1081000,"18/11/2017","Southern Metropolitan",13.8,"Bayside City Council"
"Hampton",4,"h",1900000,"18/11/2017","Southern Metropolitan",13.8,"Bayside City Council"
"Hampton",4,"h",2610000,"18/11/2017","Southern Metropolitan",13.8,"Bayside City Council"
"Hampton East",4,"t",1320000,"18/11/2017","Southern Metropolitan",13.8,"Bayside City Council"
"Hampton East",2,"u",491000,"18/11/2017","Southern Metropolitan",13.8,"Bayside City Council"
"Hawthorn",2,"u",607000,"18/11/2017","Southern Metropolitan",5.3,"Boroondara City Council"
"Hawthorn",1,"u",330000,"18/11/2017","Southern Metropolitan",5.3,"Boroondara City Council"
"Hawthorn",4,"h",2615000,"18/11/2017","Southern Metropolitan",5.3,"Boroondara City Council"
"Hawthorn",3,"t",1500000,"18/11/2017","Southern Metropolitan",5.3,"Boroondara City Council"
"Hawthorn East",5,"h",3525500,"18/11/2017","Southern Metropolitan",6.2,"Boroondara City Council"
"Hawthorn East",4,"h",2735000,"18/11/2017","Southern Metropolitan",6.2,"Boroondara City Council"
"Hawthorn East",3,"h",1870000,"18/11/2017","Southern Metropolitan",6.2,"Boroondara City Council"
"Hawthorn East",2,"u",580000,"18/11/2017","Southern Metropolitan",6.2,"Boroondara City Council"
"Healesville",4,"h",726000,"18/11/2017","Northern Victoria",45.2,"Yarra Ranges Shire Council"
"Heathmont",5,"h",820000,"18/11/2017","Eastern Metropolitan",21.3,"Maroondah City Council"
"Heathmont",3,"h",991000,"18/11/2017","Eastern Metropolitan",21.3,"Maroondah City Council"
"Heathmont",3,"h",830000,"18/11/2017","Eastern Metropolitan",21.3,"Maroondah City Council"
"Heidelberg",4,"h",1540000,"18/11/2017","Eastern Metropolitan",8.9,"Banyule City Council"
"Heidelberg",3,"u",770000,"18/11/2017","Eastern Metropolitan",8.9,"Banyule City Council"
"Heidelberg Heights",3,"h",705000,"18/11/2017","Eastern Metropolitan",8.8,"Banyule City Council"
"Heidelberg Heights",3,"u",660500,"18/11/2017","Eastern Metropolitan",8.8,"Banyule City Council"
"Heidelberg Heights",3,"h",710000,"18/11/2017","Eastern Metropolitan",8.8,"Banyule City Council"
"Heidelberg West",4,"h",645000,"18/11/2017","Eastern Metropolitan",8.8,"Banyule City Council"
"Highett",3,"h",1325000,"18/11/2017","Southern Metropolitan",16,"Bayside City Council"
"Highett",3,"h",1200000,"18/11/2017","Southern Metropolitan",16,"Bayside City Council"
"Highett",2,"u",655000,"18/11/2017","Southern Metropolitan",16,"Bayside City Council"
"Hillside",5,"h",680000,"18/11/2017","Western Metropolitan",18,"Brimbank City Council"
"Hoppers Crossing",3,"h",645000,"18/11/2017","Western Metropolitan",18.4,"Wyndham City Council"
"Hoppers Crossing",4,"h",693000,"18/11/2017","Western Metropolitan",18.4,"Wyndham City Council"
"Hoppers Crossing",3,"h",660000,"18/11/2017","Western Metropolitan",18.4,"Wyndham City Council"
"Hoppers Crossing",4,"h",595000,"18/11/2017","Western Metropolitan",18.4,"Wyndham City Council"
"Ivanhoe",3,"h",1611000,"18/11/2017","Eastern Metropolitan",7.8,"Banyule City Council"
"Ivanhoe",2,"u",620000,"18/11/2017","Eastern Metropolitan",7.8,"Banyule City Council"
"Ivanhoe",5,"h",1940000,"18/11/2017","Eastern Metropolitan",7.8,"Banyule City Council"
"Ivanhoe East",2,"h",2365000,"18/11/2017","Eastern Metropolitan",7.8,"Banyule City Council"
"Jacana",3,"h",605000,"18/11/2017","Northern Metropolitan",14,"Hume City Council"
"Kealba",3,"u",500000,"18/11/2017","Western Metropolitan",14,"Brimbank City Council"
"Kealba",4,"h",625000,"18/11/2017","Western Metropolitan",14,"Brimbank City Council"
"Keilor",5,"h",685000,"18/11/2017","Western Metropolitan",14.5,"Brimbank City Council"
"Keilor East",3,"h",730000,"18/11/2017","Western Metropolitan",11.7,"Brimbank City Council"
"Keilor East",4,"h",855000,"18/11/2017","Western Metropolitan",11.7,"Brimbank City Council"
"Keilor Park",4,"h",799000,"18/11/2017","Western Metropolitan",10.4,"Brimbank City Council"
"Kensington",1,"u",300000,"18/11/2017","Northern Metropolitan",3.4,"Melbourne City Council"
"Kensington",3,"t",1170000,"18/11/2017","Northern Metropolitan",3.4,"Melbourne City Council"
"Kensington",4,"h",939000,"18/11/2017","Northern Metropolitan",3.4,"Melbourne City Council"
"Kensington",2,"u",490000,"18/11/2017","Northern Metropolitan",3.4,"Melbourne City Council"
"Kew",4,"h",3385000,"18/11/2017","Southern Metropolitan",5.4,"Boroondara City Council"
"Kew",2,"u",605000,"18/11/2017","Southern Metropolitan",5.4,"Boroondara City Council"
"Kew",2,"t",820000,"18/11/2017","Southern Metropolitan",5.4,"Boroondara City Council"
"Kew",3,"h",1625000,"18/11/2017","Southern Metropolitan",5.4,"Boroondara City Council"
"Kew",3,"h",3276000,"18/11/2017","Southern Metropolitan",5.4,"Boroondara City Council"
"Kew",3,"h",1100000,"18/11/2017","Southern Metropolitan",5.4,"Boroondara City Council"
"Kew",2,"u",680000,"18/11/2017","Southern Metropolitan",5.4,"Boroondara City Council"
"Kew East",4,"h",1880000,"18/11/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Keysborough",3,"h",675000,"18/11/2017","South-Eastern Metropolitan",25.2,"Greater Dandenong City Council"
"Kingsbury",5,"h",794000,"18/11/2017","Northern Metropolitan",12.1,"Darebin City Council"
"Kingsbury",3,"h",809000,"18/11/2017","Northern Metropolitan",12.1,"Darebin City Council"
"Kingsville",4,"h",930000,"18/11/2017","Western Metropolitan",6.4,"Maribyrnong City Council"
"Knoxfield",3,"u",646000,"18/11/2017","Eastern Metropolitan",23.3,"Knox City Council"
"Lalor",4,"h",905000,"18/11/2017","Northern Metropolitan",16.3,"Whittlesea City Council"
"Lalor",5,"h",591000,"18/11/2017","Northern Metropolitan",16.3,"Whittlesea City Council"
"Lalor",4,"h",663500,"18/11/2017","Northern Metropolitan",16.3,"Whittlesea City Council"
"Lower Plenty",3,"h",985000,"18/11/2017","Eastern Metropolitan",14.6,"Banyule City Council"
"MacLeod",3,"u",780000,"18/11/2017","Northern Metropolitan",12.7,"Banyule City Council"
"MacLeod",3,"h",756000,"18/11/2017","Northern Metropolitan",12.7,"Banyule City Council"
"MacLeod",3,"h",910000,"18/11/2017","Northern Metropolitan",12.7,"Banyule City Council"
"Maidstone",2,"t",606000,"18/11/2017","Western Metropolitan",6.4,"Maribyrnong City Council"
"Maidstone",3,"h",802000,"18/11/2017","Western Metropolitan",6.4,"Maribyrnong City Council"
"Malvern",3,"h",2700000,"18/11/2017","Southern Metropolitan",5.9,"Stonnington City Council"
"Malvern",4,"h",3500000,"18/11/2017","Southern Metropolitan",5.9,"Stonnington City Council"
"Malvern",4,"h",2500000,"18/11/2017","Southern Metropolitan",5.9,"Stonnington City Council"
"Malvern",2,"u",610000,"18/11/2017","Southern Metropolitan",5.9,"Stonnington City Council"
"Malvern",2,"u",580000,"18/11/2017","Southern Metropolitan",5.9,"Stonnington City Council"
"Malvern East",2,"h",1235000,"18/11/2017","Southern Metropolitan",8.4,"Stonnington City Council"
"Malvern East",3,"h",1735000,"18/11/2017","Southern Metropolitan",8.4,"Stonnington City Council"
"Malvern East",3,"h",1200000,"18/11/2017","Southern Metropolitan",8.4,"Stonnington City Council"
"Malvern East",4,"h",1880000,"18/11/2017","Southern Metropolitan",8.4,"Stonnington City Council"
"Maribyrnong",5,"h",1725000,"18/11/2017","Western Metropolitan",4.3,"Maribyrnong City Council"
"Maribyrnong",5,"h",1700000,"18/11/2017","Western Metropolitan",4.3,"Maribyrnong City Council"
"Maribyrnong",4,"h",1156000,"18/11/2017","Western Metropolitan",4.3,"Maribyrnong City Council"
"Maribyrnong",3,"t",800000,"18/11/2017","Western Metropolitan",4.3,"Maribyrnong City Council"
"Maribyrnong",3,"h",1000000,"18/11/2017","Western Metropolitan",4.3,"Maribyrnong City Council"
"McKinnon",2,"u",675500,"18/11/2017","Southern Metropolitan",11.4,"Glen Eira City Council"
"McKinnon",3,"h",1600000,"18/11/2017","Southern Metropolitan",11.4,"Glen Eira City Council"
"McKinnon",2,"u",675000,"18/11/2017","Southern Metropolitan",11.4,"Glen Eira City Council"
"Meadow Heights",3,"t",347500,"18/11/2017","Northern Metropolitan",17.4,"Hume City Council"
"Melbourne",2,"u",844000,"18/11/2017","Northern Metropolitan",0,"Melbourne City Council"
"Melton West",3,"h",416000,"18/11/2017","Northern Victoria",31.7,"Melton City Council"
"Mentone",4,"h",1460000,"18/11/2017","South-Eastern Metropolitan",20,"Kingston City Council"
"Mentone",4,"h",1350000,"18/11/2017","South-Eastern Metropolitan",20,"Kingston City Council"
"Mernda",4,"h",667000,"18/11/2017","Northern Metropolitan",25.9,"Whittlesea City Council"
"Mernda",4,"h",620000,"18/11/2017","Northern Metropolitan",25.9,"Whittlesea City Council"
"Mernda",4,"h",617500,"18/11/2017","Northern Metropolitan",25.9,"Whittlesea City Council"
"Mill Park",4,"h",700000,"18/11/2017","Northern Metropolitan",17.9,"Whittlesea City Council"
"Mill Park",3,"h",645000,"18/11/2017","Northern Metropolitan",17.9,"Whittlesea City Council"
"Mill Park",4,"h",749000,"18/11/2017","Northern Metropolitan",17.9,"Whittlesea City Council"
"Mill Park",3,"h",487500,"18/11/2017","Northern Metropolitan",17.9,"Whittlesea City Council"
"Mill Park",3,"h",690000,"18/11/2017","Northern Metropolitan",17.9,"Whittlesea City Council"
"Mill Park",4,"h",750000,"18/11/2017","Northern Metropolitan",17.9,"Whittlesea City Council"
"Mill Park",3,"h",550000,"18/11/2017","Northern Metropolitan",17.9,"Whittlesea City Council"
"Mitcham",3,"h",1080000,"18/11/2017","Eastern Metropolitan",17.2,"Whitehorse City Council"
"Mitcham",3,"u",635000,"18/11/2017","Eastern Metropolitan",17.2,"Whitehorse City Council"
"Mitcham",3,"h",1120000,"18/11/2017","Eastern Metropolitan",17.2,"Whitehorse City Council"
"Mitcham",3,"u",830000,"18/11/2017","Eastern Metropolitan",17.2,"Whitehorse City Council"
"Mitcham",5,"h",1825000,"18/11/2017","Eastern Metropolitan",17.2,"Whitehorse City Council"
"Mitcham",4,"h",2150000,"18/11/2017","Eastern Metropolitan",17.2,"Whitehorse City Council"
"Mont Albert",2,"h",880000,"18/11/2017","Eastern Metropolitan",10.2,"Boroondara City Council"
"Montmorency",3,"h",925000,"18/11/2017","Eastern Metropolitan",16.2,"Banyule City Council"
"Moonee Ponds",3,"h",1000000,"18/11/2017","Western Metropolitan",6.2,"Moonee Valley City Council"
"Moonee Ponds",1,"u",353000,"18/11/2017","Western Metropolitan",6.2,"Moonee Valley City Council"
"Moonee Ponds",5,"h",2510000,"18/11/2017","Western Metropolitan",6.2,"Moonee Valley City Council"
"Moonee Ponds",1,"u",370000,"18/11/2017","Western Metropolitan",6.2,"Moonee Valley City Council"
"Moonee Ponds",2,"u",456000,"18/11/2017","Western Metropolitan",6.2,"Moonee Valley City Council"
"Moonee Ponds",3,"h",1522000,"18/11/2017","Western Metropolitan",6.2,"Moonee Valley City Council"
"Moorabbin",3,"h",1315000,"18/11/2017","Southern Metropolitan",14.3,"Kingston City Council"
"Moorabbin",3,"t",1254500,"18/11/2017","Southern Metropolitan",14.3,"Kingston City Council"
"Moorabbin",3,"t",885000,"18/11/2017","Southern Metropolitan",14.3,"Kingston City Council"
"Moorabbin",2,"u",417000,"18/11/2017","Southern Metropolitan",14.3,"Kingston City Council"
"Moorabbin",3,"t",1005000,"18/11/2017","Southern Metropolitan",14.3,"Kingston City Council"
"Moorabbin",3,"t",850000,"18/11/2017","Southern Metropolitan",14.3,"Kingston City Council"
"Mooroolbark",5,"h",830000,"18/11/2017","Eastern Victoria",26.5,"Yarra Ranges Shire Council"
"Mooroolbark",3,"h",737000,"18/11/2017","Eastern Victoria",26.5,"Yarra Ranges Shire Council"
"Mooroolbark",3,"h",645000,"18/11/2017","Eastern Victoria",26.5,"Yarra Ranges Shire Council"
"Mordialloc",3,"t",722000,"18/11/2017","South-Eastern Metropolitan",21.5,"Kingston City Council"
"Mordialloc",2,"h",1035000,"18/11/2017","South-Eastern Metropolitan",21.5,"Kingston City Council"
"Mount Waverley",5,"h",1750000,"18/11/2017","Eastern Metropolitan",14.2,"Monash City Council"
"Mount Waverley",2,"u",806500,"18/11/2017","Eastern Metropolitan",14.2,"Monash City Council"
"Mount Waverley",4,"h",1461500,"18/11/2017","Eastern Metropolitan",14.2,"Monash City Council"
"Mount Waverley",3,"h",1411000,"18/11/2017","Eastern Metropolitan",14.2,"Monash City Council"
"Mount Waverley",3,"h",1648000,"18/11/2017","Eastern Metropolitan",14.2,"Monash City Council"
"Mount Waverley",5,"h",2200000,"18/11/2017","Eastern Metropolitan",14.2,"Monash City Council"
"Mount Waverley",5,"h",1350000,"18/11/2017","Eastern Metropolitan",14.2,"Monash City Council"
"Mount Waverley",3,"h",1831000,"18/11/2017","Eastern Metropolitan",14.2,"Monash City Council"
"Mulgrave",4,"h",917000,"18/11/2017","South-Eastern Metropolitan",18.8,"Monash City Council"
"Mulgrave",5,"h",1150000,"18/11/2017","South-Eastern Metropolitan",18.8,"Monash City Council"
"Mulgrave",4,"h",1061000,"18/11/2017","South-Eastern Metropolitan",18.8,"Monash City Council"
"Mulgrave",5,"h",2480000,"18/11/2017","South-Eastern Metropolitan",18.8,"Monash City Council"
"Mulgrave",3,"h",860000,"18/11/2017","South-Eastern Metropolitan",18.8,"Monash City Council"
"Mulgrave",4,"h",1193000,"18/11/2017","South-Eastern Metropolitan",18.8,"Monash City Council"
"Murrumbeena",4,"h",1581000,"18/11/2017","Southern Metropolitan",10.1,"Glen Eira City Council"
"New Gisborne",4,"h",717500,"18/11/2017","Northern Victoria",48.1,"Macedon Ranges Shire Council"
"Newport",3,"h",1245000,"18/11/2017","Western Metropolitan",6.2,"Hobsons Bay City Council"
"Newport",3,"h",976000,"18/11/2017","Western Metropolitan",6.2,"Hobsons Bay City Council"
"Niddrie",3,"t",945000,"18/11/2017","Western Metropolitan",10.4,"Moonee Valley City Council"
"Noble Park",3,"h",670000,"18/11/2017","South-Eastern Metropolitan",22.7,"Greater Dandenong City Council"
"Noble Park",3,"u",571000,"18/11/2017","South-Eastern Metropolitan",22.7,"Greater Dandenong City Council"
"Noble Park",3,"h",760000,"18/11/2017","South-Eastern Metropolitan",22.7,"Greater Dandenong City Council"
"Noble Park",2,"h",570000,"18/11/2017","South-Eastern Metropolitan",22.7,"Greater Dandenong City Council"
"Noble Park",5,"h",725000,"18/11/2017","South-Eastern Metropolitan",22.7,"Greater Dandenong City Council"
"North Melbourne",2,"u",485000,"18/11/2017","Northern Metropolitan",1.8,"Melbourne City Council"
"North Warrandyte",3,"h",1550000,"18/11/2017","Eastern Metropolitan",21.1,"Nillumbik Shire Council"
"North Warrandyte",3,"h",720000,"18/11/2017","Eastern Metropolitan",21.1,"Nillumbik Shire Council"
"Northcote",2,"h",1122000,"18/11/2017","Northern Metropolitan",5.3,"Darebin City Council"
"Northcote",2,"h",1190000,"18/11/2017","Northern Metropolitan",5.3,"Darebin City Council"
"Northcote",3,"h",1225000,"18/11/2017","Northern Metropolitan",5.3,"Darebin City Council"
"Northcote",2,"t",700000,"18/11/2017","Northern Metropolitan",5.3,"Darebin City Council"
"Northcote",3,"h",1200000,"18/11/2017","Northern Metropolitan",5.3,"Darebin City Council"
"Northcote",4,"h",1406000,"18/11/2017","Northern Metropolitan",5.3,"Darebin City Council"
"Northcote",2,"t",810000,"18/11/2017","Northern Metropolitan",5.3,"Darebin City Council"
"Northcote",3,"h",1710000,"18/11/2017","Northern Metropolitan",5.3,"Darebin City Council"
"Nunawading",2,"h",879000,"18/11/2017","Eastern Metropolitan",15.4,"Manningham City Council"
"Nunawading",4,"h",1330000,"18/11/2017","Eastern Metropolitan",15.4,"Manningham City Council"
"Nunawading",3,"t",861080,"18/11/2017","Eastern Metropolitan",15.4,"Manningham City Council"
"Oak Park",4,"h",1100000,"18/11/2017","Northern Metropolitan",11.2,"Moreland City Council"
"Oakleigh",3,"h",950000,"18/11/2017","Southern Metropolitan",12.3,"Monash City Council"
"Oakleigh",4,"h",615000,"18/11/2017","Southern Metropolitan",12.3,"Monash City Council"
"Oakleigh",3,"h",1150000,"18/11/2017","Southern Metropolitan",12.3,"Monash City Council"
"Oakleigh East",4,"t",870000,"18/11/2017","Southern Metropolitan",12.3,"Monash City Council"
"Ormond",1,"u",284000,"18/11/2017","Southern Metropolitan",11.4,"Glen Eira City Council"
"Ormond",2,"h",950000,"18/11/2017","Southern Metropolitan",11.4,"Glen Eira City Council"
"Pakenham",4,"h",525500,"18/11/2017","Eastern Victoria",47.3,"Cardinia Shire Council"
"Parkdale",3,"t",960000,"18/11/2017","South-Eastern Metropolitan",21.5,"Kingston City Council"
"Pascoe Vale",4,"h",1000000,"18/11/2017","Northern Metropolitan",8.5,"Moreland City Council"
"Pascoe Vale",4,"h",840000,"18/11/2017","Northern Metropolitan",8.5,"Moreland City Council"
"Pascoe Vale",3,"t",812500,"18/11/2017","Northern Metropolitan",8.5,"Moreland City Council"
"Pascoe Vale",3,"u",605000,"18/11/2017","Northern Metropolitan",8.5,"Moreland City Council"
"Patterson Lakes",3,"h",760000,"18/11/2017","South-Eastern Metropolitan",31.2,"Kingston City Council"
"Plumpton",3,"h",587000,"18/11/2017","Western Metropolitan",23.8,"Melton City Council"
"Point Cook",3,"h",657700,"18/11/2017","Western Metropolitan",14.7,"Wyndham City Council"
"Point Cook",4,"h",580000,"18/11/2017","Western Metropolitan",14.7,"Wyndham City Council"
